Question_ID,Factor,Item,Answer,Image,Options
1,感知辨别,A1,4,IQ (1).png,6
2,感知辨别,A2,5,IQ (2).png,6
3,感知辨别,A3,1,IQ (3).png,6
4,感知辨别,A4,2,IQ (4).png,6
5,感知辨别,A5,6,IQ (5).png,6
6,感知辨别,A6,3,IQ (6).png,6
7,感知辨别,A7,6,IQ (7).png,6
8,感知辨别,A8,2,IQ (8).png,6
9,感知辨别,A9,1,IQ (9).png,6
10,感知辨别,A10,3,IQ (10).png,6
11,感知辨别,A11,4,IQ (11).png,6
12,感知辨别,A12,5,IQ (12).png,6
13,相似性比较,B1,2,IQ (13).png,6
14,相似性比较,B2,6,IQ (14).png,6
15,相似性比较,B3,1,IQ (15).png,6
16,相似性比较,B4,2,IQ (16).png,6
17,相似性比较,B5,1,IQ (17).png,6
18,相似性比较,B6,3,IQ (18).png,6
19,相似性比较,B7,5,IQ (19).png,6
20,相似性比较,B8,6,IQ (20).png,6
21,相似性比较,B9,4,IQ (21).png,6
22,相似性比较,B10,3,IQ (22).png,6
23,相似性比较,B11,4,IQ (23).png,6
24,相似性比较,B12,5,IQ (24).png,6
25,比较推理,C1,8,IQ (25).png,6
26,比较推理,C2,2,IQ (26).png,8
27,比较推理,C3,3,IQ (27).png,8
28,比较推理,C4,8,IQ (28).png,8
29,比较推理,C5,7,IQ (29).png,8
30,比较推理,C6,4,IQ (30).png,8
31,比较推理,C7,5,IQ (31).png,8
32,比较推理,C8,1,IQ (32).png,8
33,比较推理,C9,7,IQ (33).png,8
34,比较推理,C10,6,IQ (34).png,8
35,比较推理,C11,1,IQ (35).png,8
36,比较推理,C12,2,IQ (36).png,8
37,系列关系,D1,3,IQ (37).png,8
38,系列关系,D2,4,IQ (38).png,8
39,系列关系,D3,3,IQ (39).png,8
40,系列关系,D4,7,IQ (40).png,8
41,系列关系,D5,8,IQ (41).png,8
42,系列关系,D6,6,IQ (42).png,8
43,系列关系,D7,5,IQ (43).png,8
44,系列关系,D8,4,IQ (44).png,8
45,系列关系,D9,1,IQ (45).png,8
46,系列关系,D10,2,IQ (46).png,8
47,系列关系,D11,5,IQ (47).png,8
48,系列关系,D12,6,IQ (48).png,8
49,抽象推理,E1,7,IQ (49).png,8
50,抽象推理,E2,6,IQ (50).png,8
51,抽象推理,E3,8,IQ (51).png,8
52,抽象推理,E4,2,IQ (52).png,8
53,抽象推理,E5,1,IQ (53).png,8
54,抽象推理,E6,5,IQ (54).png,8
55,抽象推理,E7,1,IQ (55).png,8
56,抽象推理,E8,6,IQ (56).png,8
57,抽象推理,E9,3,IQ (57).png,8
58,抽象推理,E10,2,IQ (58).png,8
59,抽象推理,E11,4,IQ (59).png,8
60,抽象推理,E12,5,IQ (60).png,8
