Name,Sex,Age,Date,Duration_Seconds,A1_raw_response,A2_raw_response,A3_raw_response,A4_raw_response,A5_raw_response,A6_raw_response,A7_raw_response,A8_raw_response,A9_raw_response,A10_raw_response,A11_raw_response,A12_raw_response,B1_raw_response,B2_raw_response,B3_raw_response,B4_raw_response,B5_raw_response,B6_raw_response,B7_raw_response,B8_raw_response,B9_raw_response,B10_raw_response,B11_raw_response,B12_raw_response,C1_raw_response,C2_raw_response,C3_raw_response,C4_raw_response,C5_raw_response,C6_raw_response,C7_raw_response,C8_raw_response,C9_raw_response,C10_raw_response,C11_raw_response,C12_raw_response,D1_raw_response,D2_raw_response,D3_raw_response,D4_raw_response,D5_raw_response,D6_raw_response,D7_raw_response,D8_raw_response,D9_raw_response,D10_raw_response,D11_raw_response,D12_raw_response,E1_raw_response,E2_raw_response,E3_raw_response,E4_raw_response,E5_raw_response,E6_raw_response,E7_raw_response,E8_raw_response,E9_raw_response,E10_raw_response,E11_raw_response,E12_raw_response,A1_response,A2_response,A3_response,A4_response,A5_response,A6_response,A7_response,A8_response,A9_response,A10_response,A11_response,A12_response,B1_response,B2_response,B3_response,B4_response,B5_response,B6_response,B7_response,B8_response,B9_response,B10_response,B11_response,B12_response,C1_response,C2_response,C3_response,C4_response,C5_response,C6_response,C7_response,C8_response,C9_response,C10_response,C11_response,C12_response,D1_response,D2_response,D3_response,D4_response,D5_response,D6_response,D7_response,D8_response,D9_response,D10_response,D11_response,D12_response,E1_response,E2_response,E3_response,E4_response,E5_response,E6_response,E7_response,E8_response,E9_response,E10_response,E11_response,E12_response,感知辨别_Score,相似性比较_Score,比较推理_Score,系列关系_Score,抽象推理_Score,Total_Score
1001,男,9.0,2026-06-13,1633,4,5,1,2,6,3,6,2,1,3,4,6,2,6,1,2,1,3,5,6,4,3,4,5,8,2,3,8,7,4,5,1,7,6,1,3,3,4,3,7,8,6,5,4,1,2,5,5,7,6,8,8,4,5,1,6,3,2,5,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,11,12,11,11,8,53
1002,女,9.0,2026-06-13,1266,4,5,1,2,6,3,6,2,1,3,2,6,2,6,1,2,1,3,1,6,4,3,4,6,8,2,3,4,7,4,5,1,7,8,5,4,3,4,4,7,8,6,5,5,5,7,5,8,7,1,1,7,7,4,8,7,4,4,5,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,10,8,7,1,36
1003,男,6.5,2026-06-14,1735,4,5,1,2,6,3,6,2,1,3,4,5,2,6,1,2,1,3,5,6,4,3,4,5,8,2,3,8,7,4,5,1,6,6,1,3,3,4,3,7,8,6,5,6,1,2,7,4,7,6,8,6,7,5,8,1,4,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,12,12,10,9,4,47
1004,男,11.0,2026-06-14,1247,4,5,1,2,6,3,6,2,1,3,4,5,2,6,1,2,1,3,5,6,4,3,4,6,8,2,3,8,7,4,5,1,7,6,1,2,3,4,3,7,8,6,5,4,1,2,5,6,7,6,8,3,1,5,1,6,3,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,12,11,12,12,11,58
1006,女,10.0,2026-06-14,1443,4,5,1,2,6,3,6,2,1,3,5,5,2,6,1,2,1,3,5,6,4,3,4,5,8,2,3,8,7,2,5,1,7,4,4,4,3,4,3,7,8,6,5,4,1,2,8,7,7,6,8,2,1,5,1,2,4,7,1,8,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,11,12,8,10,7,48
1005,男,10.0,2026-06-14,1039,4,5,1,2,6,3,6,2,1,3,4,5,2,6,1,2,1,3,5,6,4,3,4,5,8,2,3,8,7,4,5,1,7,6,1,2,3,4,3,7,4,6,5,5,1,2,8,7,7,6,8,2,1,5,7,6,5,7,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,12,12,12,8,7,51
1007,男,9.0,2026-06-19,1693,4,5,1,2,6,3,6,2,1,3,4,5,2,6,1,2,1,5,5,3,1,3,4,2,8,2,3,8,7,8,5,1,6,6,1,未作答,3,3,3,7,8,6,5,4,1,1,5,7,7,6,8,3,1,5,8,6,1,4,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,12,8,9,9,7,45
1008,女,6.0,2026-06-20,1311,4,5,1,2,6,2,6,6,1,3,4,6,2,3,2,2,1,3,4,4,4,3,4,5,8,2,2,5,未作答,2,3,1,4,6,5,4,3,3,1,5,8,5,5,7,3,1,4,2,5,3,3,3,4,7,6,8,5,7,5,6,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,3,0,24
1009,男,11.0,2026-06-20,1817,4,5,1,2,6,3,6,2,1,3,4,5,2,6,1,2,1,3,5,6,4,3,4,5,8,2,3,8,7,4,5,1,7,6,1,3,3,4,3,7,8,6,8,4,1,2,8,7,7,6,8,2,1,5,1,6,7,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,12,12,11,9,8,52
1010,男,12.0,2026-06-26,886,4,5,1,2,6,3,6,2,1,3,4,5,2,6,1,2,1,3,5,6,4,3,6,5,8,2,3,8,7,2,5,1,1,8,1,2,3,4,3,7,8,6,5,4,1,6,3,4,7,1,8,3,1,5,4,1,3,6,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,12,11,9,9,6,47
1011,男,8.0,2026-06-27,1749,6,5,1,2,6,3,6,2,1,3,4,5,2,6,1,1,1,3,5,6,4,3,4,1,8,2,3,8,7,7,5,7,7,8,3,6,3,4,3,7,8,6,5,4,1,2,3,5,7,3,3,3,7,1,4,7,7,7,5,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,10,7,10,1,39
